Date	Open	High	Low	Close*	Adj Close**	Volume
Jul 12, 2024	454.33	456.36	450.65	453.55	453.55	16,311,300
Jul 11, 2024	462.98	464.78	451.55	454.70	454.70	23,111,200
Jul 10, 2024	461.22	466.46	458.86	466.25	466.25	18,196,100
Jul 09, 2024	467.00	467.33	458.00	459.54	459.54	17,207,200
Jul 08, 2024	466.55	467.70	464.46	466.24	466.24	12,962,300
Jul 05, 2024	459.61	468.35	458.97	467.56	467.56	16,000,300
Jul 03, 2024	458.19	461.02	457.88	460.77	460.77	9,932,800
Jul 02, 2024	453.20	459.59	453.11	459.28	459.28	13,979,800
Jul 01, 2024	448.66	457.37	445.66	456.73	456.73	17,662,800
Jun 28, 2024	453.07	455.38	446.41	446.95	446.95	28,362,300
Jun 27, 2024	452.18	456.17	451.77	452.85	452.85	14,806,300
Jun 26, 2024	449.00	453.60	448.19	452.16	452.16	16,507,000
Jun 25, 2024	448.25	451.42	446.75	450.95	450.95	16,747,500
Jun 24, 2024	449.80	452.75	446.41	447.67	447.67	15,913,700
Jun 21, 2024	447.38	450.58	446.51	449.78	449.78	34,486,200
Jun 20, 2024	446.30	446.53	441.27	445.70	445.70	19,877,400
Jun 18, 2024	449.71	450.14	444.89	446.34	446.34	17,112,500
Jun 17, 2024	442.59	450.94	440.72	448.37	448.37	20,790,000
Jun 14, 2024	438.28	443.14	436.72	442.57	442.57	13,582,000
Jun 13, 2024	440.85	443.39	439.37	441.58	441.58	15,960,600
Jun 12, 2024	435.32	443.40	433.25	441.06	441.06	22,366,200
Jun 11, 2024	425.48	432.82	425.25	432.68	432.68	14,551,100
Jun 10, 2024	424.70	428.08	423.89	427.87	427.87	14,003,000
Jun 07, 2024	426.20	426.28	423.00	423.85	423.85	13,621,700
Jun 06, 2024	424.01	425.31	420.58	424.52	424.52	14,861,300
Jun 05, 2024	417.81	424.08	416.30	424.01	424.01	16,988,000
Jun 04, 2024	412.43	416.44	409.68	416.07	416.07	14,348,900
Jun 03, 2024	415.53	416.43	408.92	413.52	413.52	17,484,700
May 31, 2024	416.75	416.75	404.51	415.13	415.13	47,995,300
May 30, 2024	424.30	424.30	414.24	414.67	414.67	28,424,800
May 29, 2024	425.69	430.94	425.69	429.17	429.17	15,517,100
May 28, 2024	429.63	430.82	426.60	430.32	430.32	15,718,000
May 24, 2024	427.19	431.06	424.41	430.16	430.16	11,845,800
May 23, 2024	432.97	433.60	425.42	427.00	427.00	17,211,700
May 22, 2024	430.09	432.41	427.13	430.52	430.52	18,073,700
May 21, 2024	426.83	432.97	424.85	429.04	429.04	21,453,300
May 20, 2024	420.21	426.77	419.99	425.34	425.34	16,272,100
May 17, 2024	422.54	422.92	418.03	420.21	420.21	15,352,200
May 16, 2024	421.80	425.42	420.35	420.99	420.99	17,530,100
May 15, 2024	417.90	423.81	417.27	423.08	423.08	22,239,500
May 14, 2024	412.02	417.49	411.55	416.56	415.81	15,109,300
May 13, 2024	418.01	418.35	410.82	413.72	412.98	15,440,200
May 10, 2024	412.94	415.38	411.80	414.74	413.99	13,402,300
May 09, 2024	410.57	412.72	409.10	412.32	411.58	14,689,700
May 08, 2024	408.17	412.23	406.71	410.54	409.80	11,792,300
May 07, 2024	414.66	414.67	409.09	409.34	408.60	20,018,200
May 06, 2024	408.76	413.93	406.37	413.54	412.80	16,996,600
May 03, 2024	402.28	407.15	401.86	406.66	405.93	17,446,700
May 02, 2024	397.66	399.93	394.65	397.84	397.12	17,709,400
May 01, 2024	392.61	401.72	390.31	394.94	394.23	23,562,500
Apr 30, 2024	401.49	402.16	389.17	389.33	388.63	28,781,400
Apr 29, 2024	405.25	406.32	399.19	402.25	401.53	19,582,100
Apr 26, 2024	412.17	413.00	405.76	406.32	405.59	29,694,700
Apr 25, 2024	394.03	399.89	388.03	399.04	398.32	40,586,500
Apr 24, 2024	409.56	412.47	406.78	409.06	408.32	15,065,300
Apr 23, 2024	404.24	408.20	403.06	407.57	406.84	15,734,500
Apr 22, 2024	400.08	402.85	395.75	400.96	400.24	20,286,900
Apr 19, 2024	404.03	405.48	397.77	399.12	398.40	30,276,500
Apr 18, 2024	410.63	411.89	403.95	404.27	403.54	21,029,900
Apr 17, 2024	417.25	418.88	410.33	411.84	411.10	15,855,500
Apr 16, 2024	414.57	418.40	413.73	414.58	413.83	16,765,600
Apr 15, 2024	426.60	426.82	413.43	413.64	412.90	20,273,500
Apr 12, 2024	424.05	425.18	419.77	421.90	421.14	19,232,100
Apr 11, 2024	425.82	429.37	422.36	427.93	427.16	17,966,400
Apr 10, 2024	422.19	424.03	419.70	423.26	422.50	16,216,600
Apr 09, 2024	426.44	427.74	421.62	426.28	425.51	12,512,300
Apr 08, 2024	425.17	427.28	423.30	424.59	423.83	14,272,400
Apr 05, 2024	420.01	426.51	418.32	425.52	424.75	16,544,300
Apr 04, 2024	424.99	428.67	417.57	417.88	417.13	19,370,900
Apr 03, 2024	419.73	423.26	419.09	420.45	419.69	16,502,300
Apr 02, 2024	420.11	422.38	417.84	421.44	420.68	17,912,000
Apr 01, 2024	423.95	427.89	422.22	424.57	423.81	16,316,000
Mar 28, 2024	420.96	421.87	419.12	420.72	419.96	21,871,200
Mar 27, 2024	424.44	424.45	419.01	421.43	420.67	16,705,000
Mar 26, 2024	425.61	425.99	421.35	421.65	420.89	16,725,600
Mar 25, 2024	425.24	427.41	421.61	422.86	422.10	18,060,500
Mar 22, 2024	429.70	429.86	426.07	428.74	427.97	17,636,500
